Time,Susceptible,Exposed,Infected,Recovered/Vaccinated,Total Population
0,39999999.0,0.0,1.0,0.0,40000000.0
1,39800497.62436028,0.5138776201630393,0.9455685925176373,199500.89690596264,39999999.980712175
2,39601991.28085697,0.9492753518590381,0.9543158059993954,398006.77750161977,39999999.96194541
3,39404474.97498765,1.3458096135300943,1.0135733361465902,595522.6082151601,39999999.9425646
4,39207943.743139565,1.7325179814951248,1.115992805615367,792053.33004622,39999999.92163105
5,39012392.64981734,2.1316410930379375,1.2580174738714378,987603.8589936444,39999999.89831053
6,38817816.78563964,2.56122201637867,1.4388786361245043,1182179.086397621,39999999.87180573
7,38624211.26583901,3.0369170441007136,1.6599499753795406,1375783.8792257723,39999999.84130462
8,38431571.22908509,3.573283018339769,1.9243483756369613,1568423.0803234035,39999999.80593836
9,38239891.83650783,4.184721150789359,2.2367064256805933,1760101.508641925,39999999.76474467
10,38049168.27083582,4.886198774948239,2.6030672614402537,1950823.9594552137,39999999.716633394
11,37859395.73558949,5.6938332848535875,3.0308687611909653,2140595.2045710254,39999999.660352044
12,37670569.45428572,6.625395586358465,3.528996134006821,2329419.9925426687,39999999.59444928
13,37482684.66962134,7.700773858325501,4.107889556213409,2517303.0488850363,39999999.5172348
14,37295736.64260964,8.942426899845769,4.779699037485167,2704249.076298357,39999999.426734135
15,37109720.65164796,10.37584904285149,5.558482489103671,2890262.754902656,39999999.320636794
16,36924631.99149714,12.030063604131838,6.46044578733803,3075348.7424856736,39999999.19623637
17,36740465.9721541,13.938159173894809,7.504225576459672,3259511.6747670164,39999999.05036092
18,36557217.91759911,16.137881252111786,8.71121719231144,3442756.1656813878,39999998.87929148
19,36374883.16439823,18.6722909250836,10.105951347484925,3625086.807683923,39999998.678666875
20,36193457.06014036,21.590502253869886,11.71652438649403,3806508.172080962,39999998.44337234
21,36012934.961687155,24.948509870949916,13.57508772052873,3987024.809389769,39999998.1674088
22,35833312.23320927,28.81012031330833,15.718403735531556,4166641.249731556,39999997.84373975
23,35654584.24398406,33.24799940448714,18.18847543364035,4345362.003261937,39999997.46411163
24,35476746.36592352,38.344850998295904,21.03325893336516,4523191.560644055,39999997.018843286
25,35299793.97079814,44.194743632384174,24.307469043365533,4700134.393570104,39999996.49657883
26,35123722.427120626,50.904602274178544,28.07348893034814,4876194.95533745,39999995.883998014
27,34948527.09664719,58.595885285448375,32.402396566051,5051377.681486511,39999995.16547625
28,34774203.33045032,67.40646833865544,37.37512206565883,5225686.9905083515,39999994.32268607
29,34600746.46451163,77.49275943059062,43.08375158584313,5399127.284630915,39999993.3341295
30,34428151.81477754,89.03207183363165,49.63299525331453,5571702.950693841,39999992.174589515
